,user_id,platform,install_date,bets_date,bets
0,41785284,IOS,21.04.2021,13.04.2021,2
1,41792465,IOS,21.04.2021,13.04.2021,29
2,41494466,IOS,28.03.2021,01.04.2021,28
3,41583452,IOS,02.04.2021,01.04.2021,9
4,41637532,IOS,07.04.2021,01.04.2021,16
5,41578997,ANDROID,01.04.2021,01.04.2021,8
6,41574472,IOS,01.04.2021,01.04.2021,53
7,41719379,IOS,14.04.2021,01.04.2021,13
8,41455690,IOS,26.03.2021,01.04.2021,17
9,41600031,IOS,03.04.2021,31.03.2021,1
10,41623692,IOS,05.04.2021,31.03.2021,17
11,41630973,IOS,06.04.2021,31.03.2021,47
12,41627026,IOS,06.04.2021,31.03.2021,22
13,41641636,IOS,07.04.2021,31.03.2021,58
14,41788606,IOS,21.04.2021,11.04.2021,0
15,41325030,IOS,19.03.2021,08.03.2021,29
16,41162822,ANDROID,01.03.2021,27.02.2021,0
17,41239097,ANDROID,12.03.2021,27.02.2021,0
18,41233528,ANDROID,11.03.2021,27.02.2021,39
19,41202545,IOS,07.03.2021,27.02.2021,3
20,40926084,IOS,02.02.2021,31.01.2021,4
21,40888837,IOS,29.01.2021,31.01.2021,5
22,41134072,ANDROID,25.02.2021,16.02.2021,0
23,41156630,ANDROID,01.03.2021,16.02.2021,0
24,41159770,IOS,01.03.2021,16.02.2021,12
25,41084494,IOS,19.02.2021,14.02.2021,70
26,41093676,IOS,20.02.2021,14.02.2021,5
27,41305415,IOS,18.03.2021,24.03.2021,54
28,41356023,IOS,20.03.2021,24.03.2021,30
29,41379060,IOS,22.03.2021,24.03.2021,9
30,41332038,ANDROID,20.03.2021,12.03.2021,0
31,41356218,ANDROID,20.03.2021,12.03.2021,0
32,41451363,ANDROID,25.03.2021,12.03.2021,0
33,41382778,IOS,22.03.2021,12.03.2021,18
34,41351450,IOS,20.03.2021,12.03.2021,61
35,41366694,IOS,21.03.2021,12.03.2021,33
36,41437538,IOS,25.03.2021,05.04.2021,20
37,41445004,ANDROID,25.03.2021,05.04.2021,4
38,41659018,ANDROID,09.04.2021,05.04.2021,0
39,41673537,IOS,10.04.2021,05.04.2021,1
40,41679652,ANDROID,11.04.2021,05.04.2021,0
41,41701046,IOS,13.04.2021,05.04.2021,1
42,41708526,IOS,13.04.2021,05.04.2021,1
43,41337719,ANDROID,20.03.2021,19.03.2021,0
44,41402006,ANDROID,23.03.2021,19.03.2021,0
45,41535392,ANDROID,29.03.2021,19.03.2021,0
46,41466957,ANDROID,27.03.2021,19.03.2021,0
47,41571968,ANDROID,31.03.2021,19.03.2021,0
48,41403918,IOS,23.03.2021,19.03.2021,2
49,41546330,IOS,30.03.2021,19.03.2021,73
50,41433660,IOS,24.03.2021,19.03.2021,6
51,41491121,IOS,28.03.2021,19.03.2021,62
52,41211275,IOS,08.03.2021,19.03.2021,23
53,41497833,IOS,28.03.2021,19.03.2021,9
54,41316799,IOS,19.03.2021,19.03.2021,2
55,41331838,IOS,20.03.2021,19.03.2021,24
56,41677641,IOS,10.04.2021,14.04.2021,3
57,41578132,IOS,01.04.2021,14.04.2021,68
58,41669474,ANDROID,10.04.2021,14.04.2021,46
59,41749298,ANDROID,18.04.2021,14.04.2021,0
60,41607850,IOS,04.04.2021,14.04.2021,80
61,41108320,IOS,22.02.2021,08.02.2021,4
62,41477256,ANDROID,28.03.2021,20.03.2021,0
63,41432207,ANDROID,24.03.2021,20.03.2021,0
64,41595980,ANDROID,03.04.2021,20.03.2021,0
65,41261801,ANDROID,14.03.2021,20.03.2021,0
66,41583691,IOS,02.04.2021,20.03.2021,13
67,41402178,IOS,23.03.2021,20.03.2021,12
68,41328474,ANDROID,19.03.2021,20.03.2021,81
69,41521794,IOS,29.03.2021,20.03.2021,11
70,41539648,IOS,29.03.2021,20.03.2021,13
71,41238111,IOS,11.03.2021,20.03.2021,65
72,41497833,IOS,28.03.2021,20.03.2021,10
73,41454336,IOS,26.03.2021,20.03.2021,14
74,41458890,IOS,26.03.2021,29.03.2021,50
75,41393755,IOS,22.03.2021,29.03.2021,52
76,41382778,IOS,22.03.2021,29.03.2021,14
77,41254113,IOS,14.03.2021,01.03.2021,4
78,41495483,ANDROID,28.03.2021,26.03.2021,0
79,41513016,ANDROID,29.03.2021,26.03.2021,0
80,41571968,ANDROID,31.03.2021,26.03.2021,0
81,41338061,ANDROID,20.03.2021,26.03.2021,0
82,41636665,ANDROID,07.04.2021,26.03.2021,0
83,41663233,ANDROID,09.04.2021,26.03.2021,0
84,41446086,IOS,25.03.2021,26.03.2021,85
85,41287075,IOS,17.03.2021,26.03.2021,51
86,41534857,IOS,29.03.2021,26.03.2021,4
87,41279224,ANDROID,16.03.2021,26.03.2021,7
88,41588173,IOS,02.04.2021,26.03.2021,18
89,41412925,ANDROID,24.03.2021,26.03.2021,7
90,41501711,IOS,28.03.2021,26.03.2021,34
